,0.990,0.980,0.970,0.960,0.950,0.940,0.930,0.920,0.910,0.900,0.890,0.880,0.870,0.860,0.850,0.840,0.830,0.820,0.810,0.800,0.790,0.780,0.770,0.760,0.750,0.740,0.730,0.720,0.710,0.700,0.690,0.680,0.670,0.660,0.650,0.640,0.630,0.620,0.610,0.600,0.590,0.580,0.570,0.560,0.550,0.540,0.530,0.520,0.510,0.500,0.490,0.480,0.470,0.460,0.450,0.440,0.430,0.420,0.410,0.400,0.390,0.380,0.370,0.360,0.350,0.340,0.330,0.320,0.310,0.300,0.290,0.280,0.270,0.260,0.250,0.240,0.230,0.220,0.210,0.200,0.190,0.180,0.170,0.160,0.150,0.140,0.130,0.120,0.110,0.100,0.090,0.080,0.070,0.060,0.050,0.040,0.030,0.020,0.010,0.000
BoLA-D18.4,24.000,494.830,1173.320,1694.900,2345.680,3065.000,3769.820,4787.430,5649.320,6497.290,7205.500,8015.890,8781.520,9391.580,10130.060,10882.800,11440.360,11898.330,12649.580,13218.320,13793.200,14352.440,14958.040,15578.360,16122.520,16629.500,17131.440,17532.410,17905.440,18390.470,18882.700,19402.300,19875.360,20294.390,20619.660,21063.650,21345.400,21770.300,22088.400,22496.110,22843.400,23239.240,23607.860,23992.280,24345.560,24635.400,24935.180,25274.020,25580.200,25838.690,26218.500,26461.990,26728.480,26992.970,27252.460,27441.950,27714.400,27961.930,28216.280,28475.610,28726.400,28951.890,29199.520,29420.160,29659.720,29899.950,30123.360,30323.610,30567.080,30790.670,30970.600,31161.860,31374.520,31565.180,31748.780,31964.000,32184.400,32415.000,32581.740,32733.280,32886.800,33085.230,33276.000,33449.780,33665.000,33887.350,34099.760,34295.100,34444.160,34720.480,34957.800,35169.000,35401.720,35607.570,35841.000,36119.950,36313.680,36643.140,37137.000,37636.040
BoLA-HD6,10.000,216.320,580.320,1309.270,1938.240,2787.750,3591.920,4530.690,5346.280,6258.840,7084.900,8250.600,9336.360,10137.580,11066.020,12035.150,12728.400,13615.110,14397.820,15258.570,16073.200,17130.310,17970.120,18781.710,19441.640,20221.750,21099.340,21747.200,22549.440,23255.000,23783.200,24507.570,25106.600,25616.170,26184.200,26761.100,27211.040,27660.040,28177.500,28559.110,28934.200,29316.420,29666.860,29962.070,30346.760,30654.350,30918.600,31202.040,31473.560,31750.690,32055.000,32277.990,32462.760,32693.790,32894.820,33073.950,33305.960,33516.650,33735.260,33925.000,34085.400,34263.520,34433.220,34596.870,34738.120,34872.850,35012.120,35157.880,35264.000,35388.810,35525.000,35633.930,35764.760,35863.180,35963.000,36049.250,36158.080,36264.000,36376.700,36494.710,36585.400,36658.000,36781.180,36854.670,36944.880,37047.000,37167.280,37265.420,37354.080,37448.870,37549.700,37653.060,37770.360,37881.000,38033.040,38175.250,38320.680,38495.510,38688.360,38999.530
BoLA-JSP.1,1484.000,5159.220,6815.980,7881.400,8711.880,9561.600,10310.880,10906.910,11536.800,12228.400,12772.300,13343.260,13823.600,14371.950,14812.520,15309.250,15697.120,16239.440,16714.880,17091.540,17437.200,17817.870,18139.780,18429.170,18755.200,19047.750,19350.000,19574.820,19777.000,20024.420,20340.800,20623.490,20865.360,21142.170,21326.220,21568.050,21729.880,21951.330,22157.080,22399.000,22628.400,22798.330,22946.160,23156.730,23352.560,23576.450,23753.360,24008.070,24218.840,24387.030,24566.000,24699.660,24872.640,25042.880,25169.000,25326.950,25490.000,25625.310,25749.000,25888.910,26034.200,26169.520,26325.460,26477.290,26605.360,26763.850,26894.460,27076.000,27214.760,27356.540,27499.100,27682.650,27818.560,27965.950,28089.520,28219.750,28375.080,28500.820,28685.000,28820.710,28995.000,29148.380,29302.420,29479.890,29650.440,29826.750,30021.140,30159.420,30345.000,30506.350,30691.600,30822.060,31045.080,31276.950,31462.320,31726.700,32072.680,32479.510,32817.700,33481.590
BoLA-T2C,5.000,55.830,187.320,495.840,996.720,1863.650,2985.680,4139.730,5844.600,7549.940,9555.900,10853.260,13183.040,14480.370,16007.800,17150.450,18639.120,19934.440,21117.020,22259.620,23093.000,23913.080,24716.040,25341.620,26062.680,26614.000,27173.860,27682.690,28226.600,28661.680,29241.900,29716.840,30111.240,30467.000,30822.440,31240.200,31575.760,31871.130,32143.240,32453.220,32804.200,33075.210,33291.160,33532.660,33740.080,33993.700,34215.180,34434.020,34596.880,34745.680,34926.500,35069.630,35203.160,35326.960,35475.820,35630.900,35724.480,35821.000,35906.140,35996.940,36101.800,36177.260,36266.460,36342.290,36414.240,36483.000,36539.000,36594.000,36642.440,36703.270,36742.200,36786.790,36848.000,36890.590,36923.000,36967.000,37004.000,37047.000,37083.740,37127.570,37153.400,37182.000,37208.000,37239.000,37268.000,37300.000,37335.000,37367.210,37401.080,37426.000,37456.000,37479.000,37507.000,37541.000,37569.020,37603.850,37632.680,37669.530,37723.340,37774.340
BoLA-T2a,333.000,1435.470,2891.400,4465.880,6142.640,7527.900,9358.800,10869.150,12213.960,13177.280,14283.200,15462.200,16639.600,17877.200,19020.580,19922.000,20766.360,21466.320,22028.760,22779.250,23289.200,23817.290,24285.520,24729.450,25128.200,25589.250,26095.540,26519.460,26898.920,27287.350,27645.800,27995.730,28368.360,28717.560,29063.000,29339.150,29603.560,29858.520,30129.240,30374.370,30626.400,30850.450,31098.600,31292.000,31485.120,31669.000,31849.540,32036.000,32204.520,32371.670,32502.000,32655.000,32805.120,32931.980,33067.820,33234.650,33434.480,33568.930,33671.140,33764.910,33896.000,34036.630,34133.380,34221.290,34326.000,34437.900,34536.560,34625.220,34713.000,34811.270,34908.300,34999.930,35090.000,35183.590,35271.420,35372.000,35452.080,35540.910,35624.740,35702.000,35785.400,35846.230,35914.060,35997.000,36068.720,36144.550,36249.000,36324.000,36403.120,36482.220,36575.600,36650.000,36720.360,36795.950,36891.040,36981.850,37085.040,37180.020,37319.040,37507.190
BoLA-T2b,44.000,2855.840,5976.680,9096.490,11206.880,13588.500,15054.020,16600.910,18082.040,19352.760,20643.200,21467.780,22451.680,23377.580,24334.600,25180.550,25777.880,26598.440,27253.420,27908.620,28499.000,29348.190,29885.000,30342.270,30943.760,31380.750,31813.580,32276.740,32637.240,33161.350,33633.000,34135.000,34446.160,34803.780,35169.540,35426.000,35720.520,36034.130,36303.080,36628.740,36925.800,37158.240,37389.580,37671.070,37979.600,38197.000,38440.360,38637.160,38845.520,39115.000,39346.000,39545.630,39753.640,39991.910,40230.740,40407.300,40584.920,40739.620,40887.560,41075.940,41258.000,41436.040,41587.920,41734.870,41917.840,42114.850,42253.900,42399.830,42548.000,42665.540,42806.100,42929.930,43077.760,43223.590,43380.000,43513.000,43635.080,43776.820,43904.740,44006.140,44129.200,44255.460,44350.120,44473.450,44582.320,44690.850,44810.520,44918.210,45017.080,45144.480,45257.500,45419.000,45558.000,45712.760,45849.020,46018.550,46176.000,46446.510,46683.060,46989.850
H-2-Db,1071.141,6356.933,10236.199,12421.812,14150.773,15660.857,16723.486,17756.183,18566.226,19130.689,19802.952,20225.038,20572.733,21068.704,21613.826,21938.689,22246.359,22649.050,22927.830,23225.388,23503.218,23711.134,23975.851,24289.245,24598.261,24823.841,25109.504,25323.583,25664.784,25932.695,26253.002,26561.961,26840.848,27058.696,27299.989,27576.164,27840.681,28047.517,28376.374,28634.253,28895.542,29144.997,29428.511,29724.452,30032.146,30383.844,30718.967,30995.805,31277.150,31543.686,31820.284,32186.544,32549.056,32875.801,33153.245,33535.754,33791.194,34178.622,34507.830,34851.709,35276.266,35638.853,36019.311,36403.387,36842.890,37135.118,37583.629,38128.514,38728.733,39399.291,39880.580,40317.051,40791.837,41381.279,41962.474,42528.956,43029.791,43655.984,44282.880,44892.759,45467.085,46270.615,47106.633,47968.274,48773.741,49782.775,50722.047,51671.833,53016.088,54149.817,55841.685,57262.057,59132.218,61347.728,63571.006,67206.003,70109.821,74519.409,81241.618,94336.547
H-2-Dd,533.000,5515.880,8605.480,11081.170,13522.520,14830.600,16332.820,17666.480,18539.960,19536.580,20575.900,21316.260,21975.320,22486.370,23053.920,23709.100,24258.840,24741.220,25140.280,25475.540,25868.800,26209.440,26648.520,26962.180,27244.600,27554.750,27737.540,28050.870,28289.400,28506.000,28757.700,29003.650,29188.680,29396.780,29643.440,29800.000,29952.920,30135.710,30307.700,30470.370,30635.800,30794.090,30956.720,31113.000,31271.520,31444.050,31588.900,31728.000,31849.520,32001.700,32133.500,32258.630,32358.000,32481.980,32583.460,32710.000,32809.920,32910.000,33012.140,33112.970,33241.800,33355.260,33453.920,33535.290,33654.000,33766.950,33865.780,33981.220,34068.440,34175.540,34262.100,34363.000,34456.000,34554.590,34642.840,34725.000,34816.080,34932.730,35035.480,35127.850,35225.400,35342.230,35423.000,35493.890,35595.160,35676.550,35777.760,35854.210,35950.080,36045.480,36140.000,36241.830,36341.160,36451.000,36579.040,36731.400,36899.040,37102.510,37235.340,37510.510
H-2-Kb,1475.286,3856.761,5163.664,5844.969,6387.986,6851.197,7410.027,7969.455,8427.748,8743.289,9156.219,9502.038,9803.702,10072.391,10367.372,10689.854,10993.513,11227.402,11533.898,11860.716,12142.393,12438.128,12686.944,12908.563,13166.962,13385.777,13583.423,13808.274,13987.997,14169.896,14393.602,14578.247,14781.920,14969.224,15140.127,15333.916,15493.046,15705.282,15880.087,16032.709,16207.024,16367.640,16528.364,16696.866,16825.036,16969.584,17121.750,17286.319,17431.018,17543.428,17723.705,17878.134,17981.180,18107.615,18246.776,18390.002,18518.742,18608.137,18717.816,18855.104,18967.962,19103.365,19193.729,19316.205,19453.773,19576.976,19674.446,19797.852,19893.846,19997.466,20120.032,20238.674,20340.719,20471.226,20596.576,20708.224,20845.329,20941.457,21071.891,21241.175,21376.196,21502.780,21664.289,21779.785,21932.651,22115.345,22248.421,22418.841,22538.176,22718.488,22861.984,23055.750,23238.688,23546.876,23803.781,24189.986,24586.491,25174.198,25780.197,26876.130
