locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv0440,groEL2,397410897,647,3
Rv3417c,groEL1,77534470,474,4
Rv1388,mihF,99892635,470,3
Rv3418c,groES,348197398,311,3
Rv0685,tuf,156654067,215,4
Rv2244,acpM,277635329,139,3
Rv0951,sucC,96923224,135,3
Rv1392,metK,84798418,118,2
Rv1908c,katG,77685892,109,3
Rv2460c,clpP2,73520517,103,3
Rv3914,trxC,71093247,100,3
Rv2995c,leuB,63848776,90,3
Rv1488,,63378876,89,3
Rv2220,glnA1,55571317,79,3
Rv3841,bfrB,52881087,75,3
Rv0475,hbhA,50587461,72,3
Rv3874,esxB,49426324,70,3
Rv1133c,metE,25341540,65,3
Rv2246,kasB,45575932,65,4
Rv0814c,sseC2,44605258,63,3
Rv1636,TB15.3,43843760,62,3
Rv0283,eccB3,43173095,62,3
Rv3457c,rpoA,33887026,60,3
Rv0931c,pknD,40034427,57,3
Rv0290,eccD3,37975770,54,3
Rv1544,,35733996,51,4
Rv2140c,TB18.6,34677186,50,3
Rv1886c,fbpB,34368284,49,3
Rv1074c,fadA3,33355224,48,3
Rv1240,mdh,31818857,46,3
Rv0350,dnaK,31516784,45,2
Rv0053,rpsF,31484539,45,3
Rv0652,rplL,31079646,45,3
Rv2245,kasA,30407210,44,3
Rv0733,adk,30307021,44,3
Rv1310,atpD,60552836,43,3
Rv0009,ppiA,29465949,42,4
Rv2831,echA16,17847477,42,3
Rv1436,gap,28613435,41,3
Rv0655,mkl,27163152,39,5
Rv1070c,echA8,26788171,39,3
Rv0211,pckA,26242747,38,3
Rv0164,TB18.5,26036696,38,2
Rv3801c,fadD32,25406664,37,3
Rv2185c,TB16.3,24250265,35,6
Rv0636,hadB,23322763,34,2
Rv1932,tpx,23193654,34,3
Rv0968,,23117699,34,3
Rv0871,cspB,22461602,33,3
Rv1475c,acn,9121117,32,3
Rv0054,ssb,21402581,31,3
Rv2461c,clpP1,21321200,31,2
Rv0934,pstS1,20866440,30,2
Rv0234c,gabD1,4168898,30,3
Rv0363c,fba,20335436,30,3
Rv1023,eno,20123246,29,3
Rv1308,atpA,19903543,29,3
Rv0683,rpsG,19901032,29,3
Rv0282,eccA3,18959531,28,3
Rv0248c,,18749688,27,3
Rv2744c,35kd_ag,18717803,27,3
Rv3403c,,18465153,27,2
Rv2296,,18432487,27,4
Rv0967,csoR,18060471,26,2
Rv0580c,,17959306,26,3
Rv0815c,cysA2,17881335,26,3
Rv1827,garA,17246293,25,2
Rv2780,ald,16785737,25,3
Rv2632c,,16767178,25,2
Rv3028c,fixB,16646467,24,3
Rv1484,inhA,16593851,24,5
Rv0242c,fabG4,16586927,24,3
Rv3849,espR,16500534,24,2
Rv0155,pntAa,16390102,24,3
Rv1489,,15952508,23,2
Rv0284,eccC3,15929924,23,6
Rv1612,trpB,15899239,23,3
